TYPE	NAME	ABBREVIATION	TERM
1	Laboratory	ABXBACT	Antibiotic susceptibilities
1	Laboratory	ALLERGY	Response to antigens
1	Laboratory	BLDBK	Blood bank
1	Laboratory	BLDBK.GENOTYPING	Blood bank genotyping
1	Laboratory	CELLMARK	Cell surface models
1	Laboratory	CHAL	Challenge tests
1	Laboratory	CHAL.ROUTINE	Routine challenge tests
1	Laboratory	CHALSKIN	Skin challenge tests
1	Laboratory	CHEM	Chemistry
1	Laboratory	COAG	Coagulation study
1	Laboratory	CYTO	Cytology
1	Laboratory	DRUG-TOX	Drug levels & Toxicology
1	Laboratory	DRUGDOSE	Drug dose (for transmitting doses for pharmacokinetics)
1	Laboratory	FERT	Fertility
1	Laboratory	H&P.HX.LAB	History relevant to laboratory testing
1	Laboratory	HEM-BC	Hematology and Cell counts
1	Laboratory	HL7.CYTOGEN	Clinical cytogenetic report
1	Laboratory	HL7.GENETICS	Clinical genetic report
1	Laboratory	HLA	HLA tissue typing antigens and antibodies
1	Laboratory	HNA	Human neutrophil alloantigens
1	Laboratory	HPA	HPA typing
1	Laboratory	LABORDERS	Laboratory order
1	Laboratory	LABORDERS.ONTOLOGY	LABORDERS.ONTOLOGY
1	Laboratory	MICRO	Microbiology
1	Laboratory	MISC	Miscellaneous
1	Laboratory	MOLPATH	Molecular pathology
1	Laboratory	MOLPATH.DEL	Deletions
1	Laboratory	MOLPATH.DELDUP	Gene deletions or duplications
1	Laboratory	MOLPATH.INV	Gene inversion
1	Laboratory	MOLPATH.MISC	Gene miscellaneous
1	Laboratory	MOLPATH.MUT	Gene mutation
1	Laboratory	MOLPATH.NUCREPEAT	Nucleotide repeats
1	Laboratory	MOLPATH.PHARMG	Pharmacogenomics
1	Laboratory	MOLPATH.REARRANGE	Gene rearrangement
1	Laboratory	MOLPATH.TRISOMY	Gene chromosome trisomy
1	Laboratory	MOLPATH.TRNLOC	Gene translocation
1	Laboratory	NR STATS	Normal range statistics
1	Laboratory	PANEL.ABXBACT	Susceptibility order sets
1	Laboratory	PANEL.ALLERGY	Allergy order set
1	Laboratory	PANEL.BLDBK	Blood bank order set
1	Laboratory	PANEL.BLDBK.GENOTYPE	Blood bank genotyping panel
1	Laboratory	PANEL.CELLMARK	Cell marker order sets
1	Laboratory	PANEL.CHAL	Challenge order set
1	Laboratory	PANEL.CHEM	Chemistry order set
1	Laboratory	PANEL.COAG	Coagulation order set
1	Laboratory	PANEL.DRUG-TOX	Drug level & Toxicology order set
1	Laboratory	PANEL.FERT	Fertility testing order set
1	Laboratory	PANEL.HEDIS	Healthcare Effectiveness Data and Information Set order set
1	Laboratory	PANEL.HEM-BC	Hematology & blood count order set
1	Laboratory	PANEL.HL7.CYTOGEN	HL7 cytogenetics panel
1	Laboratory	PANEL.HL7.GENETICS	HL7 genetics panel
1	Laboratory	PANEL.HLA	HLA order set
1	Laboratory	PANEL.HNA	HNA order set
1	Laboratory	PANEL.HPA	HPA order set
1	Laboratory	PANEL.MICRO	Microbiology order set
1	Laboratory	PANEL.MISC	Miscellaneous order set
1	Laboratory	PANEL.MOLPATH	Molecular pathology order set
1	Laboratory	PANEL.MOLPATH.PHARMG	Pharmacogenomics panel
1	Laboratory	PANEL.OBS	Obstetrics order set
1	Laboratory	PANEL.PATH	Pathology order set
1	Laboratory	PANEL.SERO	Serology order set
1	Laboratory	PANEL.SPEC	Specimen set
1	Laboratory	PANEL.UA	Urinalysis order set
1	Laboratory	PATH	Pathology
1	Laboratory	PATH.HISTO	Histology
1	Laboratory	PATH.PROTOCOLS.BRST	Pathology protocols - breast
1	Laboratory	PATH.PROTOCOLS.GENER	Pathology protocols - general
1	Laboratory	PATH.PROTOCOLS.PROST	Pathology protocols - prostate
1	Laboratory	PATH.PROTOCOLS.SKIN	Pathology protocols - skin
1	Laboratory	SERO	Serology (antibodies and most antigens except blood bank and infectious agents)
1	Laboratory	SPEC	Specimen characteristics
1	Laboratory	UA	Urinalysis
2	Clinical	ADMIN	Administrative
2	Clinical	ADMIN.DEMOG	Demographics
2	Clinical	ADMIN.FACILITY	Facility
2	Clinical	ADMIN.ID	Identification numbers
2	Clinical	ADMIN.PATIENT	ADMIN.PATIENT
2	Clinical	ADMIN.PATIENT.DEMOG	Patient demographics
2	Clinical	ADMIN.PATIENT.ID	ADMIN.PATIENT.ID
2	Clinical	APTA	American Physical Therapy Association(APTA)
2	Clinical	ART	Antiretroviral therapy
2	Clinical	AUDIO	Audiology
2	Clinical	BDYCRC.ATOM	General body circumference
2	Clinical	BDYCRC.MOLEC	Specific body circumference
2	Clinical	BDYHGT.ATOM	General body height(length)
2	Clinical	BDYHGT.MOLEC	Specific body height(length)
2	Clinical	BDYSURF.ATOM	General body surface area
2	Clinical	BDYTMP.ATOM	General body temperature
