CODE	KOREAN_LABEL	ENGLISH_LABEL
M8000/0	양성 신생물	Neoplasm, benign
M8000/1	양성 또는 악성이 불확실한 신생물	Neoplasm, uncertain whether benign or malignant
M8000/3	악성 신생물	Neoplasm, malignant
M8000/6	전이성 신생물	Neoplasm, metastatic
M8001/0	양성종양세포	Tumour cells, benign
M8001/1	양성 또는 악성이 불확실한 종양세포	Tumour cells, uncertain whether benign or malignant
M8001/3	악성종양세포	Tumour cells, malignant
M8002/3	소세포형의 악성종양	Malignant tumour, small cell type
M8003/3	거대세포형의 악성종양	Malignant tumour, giant cell type
M8004/3	방추세포형의 악성종양	Malignant tumour, spindle cell type
M8005/0	투명세포 종양, NOS	Clear cell tumour NOS
M8005/3	투명세포형의 악성종양	Malignant tumour, clear cell type
M8010/0	양성 상피성 종양	Epithelial tumour, benign
M8010/2	상피내 암종, NOS	Carcinoma in situ NOS
M8010/3	암종, NOS	Carcinoma NOS
M8010/6	전이성 암종, NOS	Carcinoma, metastatic NOS
M8011/0	양성 상피종	Epithelioma, benign
M8011/3	악성 상피종	Epithelioma, malignant
M8012/3	대세포 암종, NOS	Large cell carcinoma NOS
M8013/3	대세포 신경내분비 암종	Large cell neuroendocrine carcinoma
M8014/3	간상 표현형을 동반한 대세포 암종	Large cell carcinoma with rhabdoid phenotype
M8015/3	유리세포 암종	Glassy cell carcinoma
M8020/3	미분화된 암종, NOS	Carcinoma, undifferentiated NOS
M8021/3	역형성의 암종, NOS	Carcinoma, anaplastic NOS
M8022/3	다형성 암종	Pleomorphic carcinoma
M8023/3	고환내 핵 단백질(NUT) 관련 암종	Nuclear protein in testis(NUT) associated carcinoma
M8030/3	거대세포 및 방추세포 암종	Giant cell and spindle cell carcinoma
M8031/3	거대세포 암종	Giant cell carcinoma
M8032/3	방추세포 암종, NOS	Spindle cell carcinoma NOS
M8033/3	가육종성 암종	Pseudosarcomatous carcinoma
M8034/3	다각형세포 암종	Polygonal cell carcinoma
M8035/3	파골(뼈 파괴)세포 유사 거대세포를 동반한 암종	Carcinoma with osteoclast-like giant cells
