SEQ	Code	Version	Class_Kind	Usage_Kind	Super_Class	Label	REF	Children_count	Descendant_count	PATH
1	ICD10 2019	2019				International Statistical Classification of Diseases and Related Health Problems 10th Revision		22	0	ROOT
2	I	2019	chapter		ICD10 2019	Certain infectious and parasitic diseases		21	0	ICD10 2019
3	A00-A09	2019	block		I	Intestinal infectious diseases		10	0	ICD10 2019~I
4	A00	2019	category		A00-A09	Cholera		3	0	ICD10 2019~I~A00-A09
5	A00.0	2019	category		A00	Cholera due to Vibrio cholerae 01, biovar cholerae		0	0	ICD10 2019~I~A00-A09~A00
6	A00.1	2019	category		A00	Cholera due to Vibrio cholerae 01, biovar eltor		0	0	ICD10 2019~I~A00-A09~A00
7	A00.9	2019	category		A00	Cholera, unspecified		0	0	ICD10 2019~I~A00-A09~A00
8	A01	2019	category		A00-A09	Typhoid and paratyphoid fevers		5	0	ICD10 2019~I~A00-A09
9	A01.0	2019	category		A01	Typhoid fever		0	0	ICD10 2019~I~A00-A09~A01
10	A01.1	2019	category		A01	Paratyphoid fever A		0	0	ICD10 2019~I~A00-A09~A01
11	A01.2	2019	category		A01	Paratyphoid fever B		0	0	ICD10 2019~I~A00-A09~A01
12	A01.3	2019	category		A01	Paratyphoid fever C		0	0	ICD10 2019~I~A00-A09~A01
13	A01.4	2019	category		A01	Paratyphoid fever, unspecified		0	0	ICD10 2019~I~A00-A09~A01
14	A02	2019	category		A00-A09	Other salmonella infections		5	0	ICD10 2019~I~A00-A09
15	A02.0	2019	category		A02	Salmonella enteritis		0	0	ICD10 2019~I~A00-A09~A02
16	A02.1	2019	category		A02	Salmonella sepsis		0	0	ICD10 2019~I~A00-A09~A02
17	A02.2	2019	category		A02	Localized salmonella infections		0	0	ICD10 2019~I~A00-A09~A02
18	A02.8	2019	category		A02	Other specified salmonella infections		0	0	ICD10 2019~I~A00-A09~A02
19	A02.9	2019	category		A02	Salmonella infection, unspecified		0	0	ICD10 2019~I~A00-A09~A02
20	A03	2019	category		A00-A09	Shigellosis		6	0	ICD10 2019~I~A00-A09
21	A03.0	2019	category		A03	Shigellosis due to Shigella dysenteriae		0	0	ICD10 2019~I~A00-A09~A03
22	A03.1	2019	category		A03	Shigellosis due to Shigella flexneri		0	0	ICD10 2019~I~A00-A09~A03
23	A03.2	2019	category		A03	Shigellosis due to Shigella boydii		0	0	ICD10 2019~I~A00-A09~A03
24	A03.3	2019	category		A03	Shigellosis due to Shigella sonnei		0	0	ICD10 2019~I~A00-A09~A03
25	A03.8	2019	category		A03	Other shigellosis		0	0	ICD10 2019~I~A00-A09~A03
26	A03.9	2019	category		A03	Shigellosis, unspecified		0	0	ICD10 2019~I~A00-A09~A03
27	A04	2019	category		A00-A09	Other bacterial intestinal infections		10	0	ICD10 2019~I~A00-A09
28	A04.0	2019	category		A04	Enteropathogenic Escherichia coli infection		0	0	ICD10 2019~I~A00-A09~A04
29	A04.1	2019	category		A04	Enterotoxigenic Escherichia coli infection		0	0	ICD10 2019~I~A00-A09~A04
30	A04.2	2019	category		A04	Enteroinvasive Escherichia coli infection		0	0	ICD10 2019~I~A00-A09~A04
31	A04.3	2019	category		A04	Enterohaemorrhagic Escherichia coli infection		0	0	ICD10 2019~I~A00-A09~A04
32	A04.4	2019	category		A04	Other intestinal Escherichia coli infections		0	0	ICD10 2019~I~A00-A09~A04
33	A04.5	2019	category		A04	Campylobacter enteritis		0	0	ICD10 2019~I~A00-A09~A04
34	A04.6	2019	category		A04	Enteritis due to Yersinia enterocolitica		0	0	ICD10 2019~I~A00-A09~A04
35	A04.7	2019	category		A04	Enterocolitis due to Clostridium difficile		0	0	ICD10 2019~I~A00-A09~A04
36	A04.8	2019	category		A04	Other specified bacterial intestinal infections		0	0	ICD10 2019~I~A00-A09~A04
37	A04.9	2019	category		A04	Bacterial intestinal infection, unspecified		0	0	ICD10 2019~I~A00-A09~A04
38	A05	2019	category		A00-A09	Other bacterial foodborne intoxications, not elsewhere classified		7	0	ICD10 2019~I~A00-A09
39	A05.0	2019	category		A05	Foodborne staphylococcal intoxication		0	0	ICD10 2019~I~A00-A09~A05
40	A05.1	2019	category		A05	Botulism		0	0	ICD10 2019~I~A00-A09~A05
41	A05.2	2019	category		A05	Foodborne Clostridium perfringens [Clostridium welchii] intoxication		0	0	ICD10 2019~I~A00-A09~A05
42	A05.3	2019	category		A05	Foodborne Vibrio parahaemolyticus intoxication		0	0	ICD10 2019~I~A00-A09~A05
43	A05.4	2019	category		A05	Foodborne Bacillus cereus intoxication		0	0	ICD10 2019~I~A00-A09~A05
44	A05.8	2019	category		A05	Other specified bacterial foodborne intoxications		0	0	ICD10 2019~I~A00-A09~A05
45	A05.9	2019	category		A05	Bacterial foodborne intoxication, unspecified		0	0	ICD10 2019~I~A00-A09~A05
46	A06	2019	category		A00-A09	Amoebiasis		10	0	ICD10 2019~I~A00-A09
47	A06.0	2019	category		A06	Acute amoebic dysentery		0	0	ICD10 2019~I~A00-A09~A06
48	A06.1	2019	category		A06	Chronic intestinal amoebiasis		0	0	ICD10 2019~I~A00-A09~A06
49	A06.2	2019	category		A06	Amoebic nondysenteric colitis		0	0	ICD10 2019~I~A00-A09~A06
50	A06.3	2019	category		A06	Amoeboma of intestine		0	0	ICD10 2019~I~A00-A09~A06
51	A06.4	2019	category	dagger	A06	Amoebic liver abscess	K77.0*	0	0	ICD10 2019~I~A00-A09~A06
52	A06.5	2019	category	dagger	A06	Amoebic lung abscess		0	0	ICD10 2019~I~A00-A09~A06
53	A06.6	2019	category	dagger	A06	Amoebic brain abscess	G07*	0	0	ICD10 2019~I~A00-A09~A06
54	A06.7	2019	category		A06	Cutaneous amoebiasis		0	0	ICD10 2019~I~A00-A09~A06
55	A06.8	2019	category		A06	Amoebic infection of other sites		0	0	ICD10 2019~I~A00-A09~A06
56	A06.9	2019	category		A06	Amoebiasis, unspecified		0	0	ICD10 2019~I~A00-A09~A06
57	A07	2019	category		A00-A09	Other protozoal intestinal diseases		6	0	ICD10 2019~I~A00-A09
58	A07.0	2019	category		A07	Balantidiasis		0	0	ICD10 2019~I~A00-A09~A07
59	A07.1	2019	category		A07	Giardiasis [lambliasis]		0	0	ICD10 2019~I~A00-A09~A07
60	A07.2	2019	category		A07	Cryptosporidiosis		0	0	ICD10 2019~I~A00-A09~A07
61	A07.3	2019	category		A07	Isosporiasis		0	0	ICD10 2019~I~A00-A09~A07
62	A07.8	2019	category		A07	Other specified protozoal intestinal diseases		0	0	ICD10 2019~I~A00-A09~A07
63	A07.9	2019	category		A07	Protozoal intestinal disease, unspecified		0	0	ICD10 2019~I~A00-A09~A07
64	A08	2019	category		A00-A09	Viral and other specified intestinal infections		6	0	ICD10 2019~I~A00-A09
65	A08.0	2019	category		A08	Rotaviral enteritis		0	0	ICD10 2019~I~A00-A09~A08
66	A08.1	2019	category		A08	Acute gastroenteropathy due to Norovirus		0	0	ICD10 2019~I~A00-A09~A08
67	A08.2	2019	category		A08	Adenoviral enteritis		0	0	ICD10 2019~I~A00-A09~A08
68	A08.3	2019	category		A08	Other viral enteritis		0	0	ICD10 2019~I~A00-A09~A08
69	A08.4	2019	category		A08	Viral intestinal infection, unspecified		0	0	ICD10 2019~I~A00-A09~A08
70	A08.5	2019	category		A08	Other specified intestinal infections		0	0	ICD10 2019~I~A00-A09~A08
71	A09	2019	category		A00-A09	Other gastroenteritis and colitis of infectious and unspecified origin		2	0	ICD10 2019~I~A00-A09
72	A09.0	2019	category		A09	Other and unspecified gastroenteritis and colitis of infectious origin		0	0	ICD10 2019~I~A00-A09~A09
73	A09.9	2019	category		A09	Gastroenteritis and colitis of unspecified origin		0	0	ICD10 2019~I~A00-A09~A09
74	A15-A19	2019	block		I	Tuberculosis		5	0	ICD10 2019~I
75	A15	2019	category		A15-A19	Respiratory tuberculosis, bacteriologically and histologically confirmed		10	0	ICD10 2019~I~A15-A19
76	A15.0	2019	category		A15	Tuberculosis of lung, confirmed by sputum microscopy with or without culture		0	0	ICD10 2019~I~A15-A19~A15
77	A15.1	2019	category		A15	Tuberculosis of lung, confirmed by culture only		0	0	ICD10 2019~I~A15-A19~A15
78	A15.2	2019	category		A15	Tuberculosis of lung, confirmed histologically		0	0	ICD10 2019~I~A15-A19~A15
79	A15.3	2019	category		A15	Tuberculosis of lung, confirmed by unspecified means		0	0	ICD10 2019~I~A15-A19~A15
80	A15.4	2019	category		A15	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically		0	0	ICD10 2019~I~A15-A19~A15
81	A15.5	2019	category		A15	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically		0	0	ICD10 2019~I~A15-A19~A15
82	A15.6	2019	category		A15	Tuberculous pleurisy, confirmed bacteriologically and histologically		0	0	ICD10 2019~I~A15-A19~A15
83	A15.7	2019	category		A15	Primary respiratory tuberculosis, confirmed bacteriologically and histologically		0	0	ICD10 2019~I~A15-A19~A15
84	A15.8	2019	category		A15	Other respiratory tuberculosis, confirmed bacteriologically and histologically		0	0	ICD10 2019~I~A15-A19~A15
85	A15.9	2019	category		A15	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically		0	0	ICD10 2019~I~A15-A19~A15
86	A16	2019	category		A15-A19	Respiratory tuberculosis, not confirmed bacteriologically or histologically		9	0	ICD10 2019~I~A15-A19
87	A16.0	2019	category		A16	Tuberculosis of lung, bacteriologically and histologically negative		0	0	ICD10 2019~I~A15-A19~A16
88	A16.1	2019	category		A16	Tuberculosis of lung, bacteriological and histological examination not done		0	0	ICD10 2019~I~A15-A19~A16
89	A16.2	2019	category		A16	Tuberculosis of lung, without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
90	A16.3	2019	category		A16	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
91	A16.4	2019	category		A16	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
92	A16.5	2019	category		A16	Tuberculous pleurisy, without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
