"ISO_COUNTRY"	"ISO_LANG"	"LANG"	"PRODUCER"
"CH"	"de"	"German (SWITZERLAND)"	"CUMUL, Switzerland"
"CH"	"fr"	"French (SWITZERLAND)"	"CUMUL, Switzerland"
"CH"	"it"	"Italian (SWITZERLAND)"	"CUMUL, Switzerland"
"CH"	"es"	"Spanish (SWITZERLAND)"	"CUMUL, Switzerland"
"CN"	"zh"	"Chinese (CHINA)"	"Bethune International Peace Hospital"
"AR"	"es"	"Spanish (ARGENTINA)"	"Conceptum Medical Terminology Center"
"CA"	"fr"	"French (CANADA)"	"Canada Health Infoway Inc."
"EE"	"et"	"Estonian (ESTONIA)"	"Estonian E-Health Foundation"
"BR"	"pt"	"Portuguese (BRAZIL)"	"HL7 Brazil Institute"
"ES"	"es"	"Spanish (SPAIN)"	"the Clinical Laboratory Committee of SERVICIO EXTREMEÑO DE SALUD, with the support of BITAC MAP."
"KR"	"ko"	"Korean (KOREA, REPUBLIC OF)"	"Korean Ministry for Health, Welfare, and Family Affairs"
"DE"	"de"	"German (GERMANY)"	"Institute for Medical Documentation and Information (DIMDI)"
"IT"	"it"	"Italian (ITALY)"	"Consiglio Nazionale delle Ricerche"
"GR"	"el"	"Greek (GREECE)"	"Efstratia Kontaxi, MD, MSc, and Evripidis Stefanidis, MD, with technical support from Panagiotis Kontaxis, Diploma of Electrical and Computer Engineering."
"FR"	"fr"	"French (FRANCE)"	"ASIP Santé (Agence des systèmes d'information partagés de santé)"
"TR"	"tr"	"Turkish (TURKEY)"	"LOINC Turkish Translation Group and the Turkish Ministry of Health"
"RU"	"ru"	"Russian (RUSSIAN FEDERATION)"	"Yaroslavl State Medical Academy"
"NL"	"nl"	"Dutch (NETHERLANDS)"	"NVKC, Dutch Society for Clinical Chemistry and Laboratory Medicine, The Netherlands"
"BE"	"fr"	"French (BELGIUM)"	"Jean M. Prevost, MD, Biopathology"
"AT"	"de"	"German (AUSTRIA)"	"ELGA, Austria"
