"COPYRIGHT"	"COPYRIGHT_ID"	"NAME"	"TERMS_OF_USE"	"URL"
"Copyright © Pfizer Inc. All rights reserved."	"Pfizer"	"Pfizer, Inc"	"Developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke and colleagues, with an educational grant from Pfizer Inc. No permission required to reproduce, translate, display or distribute."	"http://www.phqscreeners.com/terms.aspx"
"Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO."	"UCHSC"	"Center for Health Policy Research, UCHSC, Denver, CO"	"Used with permission."	"http://loinc.org/reference/administrative-and-legal/HHQIOASISDataSet_IP_Permission.pdf"
"InterRAI holds the copyright to Version 2.0 of the RAI for long term care outside of the US. Supplemental help and contextual information for MDS items in LOINC was derived from Version 2.0 of the RAI/MDS manual, and should not be reproduced outside of the United States without permission of InterRAI. Within the US, Version 2.0 is in the public domain."	"interRAI"	"interRAI"	"As a not for profit corporation under the US Tax Code, interRAI holds the copyright to a number of assessment systems, including the Resident Assessment Instrument (RAI) for long term care facilities outside of the US (the RAI is in the public domain within the US), as well as the assessment systems for Home Care (HC), Assisted Living (AL), Palliative Care (PC), Mental Health (MH) (outside of Canada), and Acute Care (RAI-AC).The scales, algorithms, and case-mix measures based on these assessment instruments cannot be copyrighted and are thus available to everyone (although the individual items on which they are based are usually copyrighted).The major clauses of our royalty-free licenses follow:    * the instrument is not to be changed substantially (excepting individual identifiers and demographics);    * the license is limited to non-commercial use (i.e., the instrument will not be not incorporated into products to be sold to others);    * no royalties will be charged;    * the organization will make appropriate efforts to inform others of the copyright status of the instrument;    * interRAI's logo and copyright notice are to appear on the form;    * authors, author institutions, and translators (as appropriate) are to be acknowledged in any document where authors would regularly be indicated (e.g., publication of a training manual);    * publication of any training manual is limited to the period until a commercially-published version is available;    * data from use of the instrument are to be shared with interRAI, subject to existing laws on confidentiality.Commercial use usually requires royalties. In this instance, interRAI may omit the data requirement, but retains the other requirements for a logo, attribution, etc.We will be pleased in any contract negotiations to acknowledge the participation of individuals or organizations which have played a substantial role in getting the instrument to the point of implementation.For more information on licensing with interRAI, please contact the president of the Board:Brant E. Fries, Ph.D.Institute of GerontologyUniversity of Michigan300 North IngallsAnn Arbor, Michigan USA 48109Email: bfries@umich.edu"	"http://www.interrai.org"
"Copyright © 2002 The Regents of the University of Michigan"	"UMich"	"The Regents of the University of Michigan"	"Include the following when printing the FLACC on documentation records, etc: Printed with permission © 2002, The Regents of the University of Michigan"	"http://www.umich.edu"
"Copyright © 2006 World Health Organization."	"WHO_HIV"	"World Health Organization (WHO)"	"Used with permission. Publications of the World Health Organization can be obtained from WHO Press, World Health Organization, 20 Avenue Appia, 1211 Geneva 27, Switzerland (tel: +41 22 791 2476; fax: +41 22 791 4857; email: bookorders@who.int). Requests for permission to reproduce or translate WHO publications – whether for sale or for noncommercial distribution – should be addressed to WHO Press, at the above address (fax: +41 22 791 4806; email: permissions@who.int). The designations employed and the presentation of the material in this publication do not imply the expression of any opinion whatsoever on the part of the World Health Organization concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted lines on maps represent approximate border lines for which there may not yet be full agreement. The mention of specific companies or of certain manufacturers’ products does not imply that they are endorsed or recommended by the World Health Organization in preference to others of a similar nature that are not mentioned. Errors and omissions excepted, the names of proprietary products are distinguished by initial capital letters. All reasonable precautions have been taken by WHO to verify the information contained in this publication. However, the published material is being distributed without warranty of any kind, either express or implied. The responsibility for the interpretation and use of the material lies with the reader. In no event shall the World Health Organization be liable for damages arising from its use."	"http://www.who.int/about/licensing/en/"
"Copyright © 1988 Barbara Braden and Nancy Bergstrom."	"Braden"	"Braden and Bergstrom"	"Used with permission. It is understood that the name of the instrument and the indication that the copyright belongs to Braden and Bergstrom remain on any copies and that you do not make any changes to the wording or scoring of this tool."	"http://www.bradenscale.com"
"Copyright © 2006 Diane Huber and Connie Delaney."	"NMMDS"	"NMMDS"	"Used with permission."	"http://www.nursing.umn.edu/prod/groups/nurs/@pub/@nurs/documents/content/nurs_content_451377.pdf"
"Copyright © 2008 Routine Health Outcomes Ltd. All rights reserved. Used with Permission. Users should notify Tim Benson by email: timbenson@routinehealthoutcomes.com"	"RHO"	"Routine Health Outcomes"	""	"http://www.routinehealthoutcomes.com"
"Copyright © 2003 Sharon K. Inouye, M.D., MPH. Adapted from: Inouye SK, vanDyck CH, Alessi CA, Balkin S, Siegal AP, Horwitz RI. Clarifying confusion: The Confusion Assessment Method. A new method for detection of delirium. Ann Intern Med. 1990; 113: 941-948. Confusion Assessment Method: Training Manual and Coding Guide."	"CAM"	"Dr. SK Inouye"	"Used with permission."	"http://www.hospitalelderlifeprogram.org/delirium-instruments/copyright-permission/"
"Copyright © 2001 IMPS, LLC. Authors: Suzann K. Campbell, Gay L. Girolami, Thubi, H. A. Kolobe, Elizabeth T. Osten, Maureen C. Lenke. All rights reserved."	"IMPS"	"Infant Motor Performance Scales, LLC"	"Used with permission."	"https://www.infantmotortest.com/terms.html"
"Copyright © 2010 PROMIS Health Organization or other individuals/entities that have contributed information and materials to Assessment Center, and are being used with the permission of the copyright holders."	"PROMIS"	"PROMIS"	"Use of PROMIS instruments (e.g., item banks, short forms, profile measures) are subject to the PROMIS Terms and Conditions available at: http://www.assessmentcenter.net/TandC.aspx"	"http://www.assessmentcenter.net/TandC.aspx"
"Copyright © 2011 International Association for the Study of Pain (IASP)."	"IASP"	"International Association for the Study of Pain"	"Used with permission. Before translating text into a language other than found on the Pediatric Pain Sourcebook (www.painsourcebook.ca), please contact IASP to gain permission."	"http://www.iasp-pain.org"
"Copyright © 2012, 2006, 2005 American Physical Therapy Association. All rights reserved."	"APTA"	"American Physical Therapy Association"	"Used with permission per LOINC Terms of Use, and in addition: Any further distribution or reproduction must include the following copyright statement: “Copyright ©2005 American Physical Therapy Association. All rights reserved.” Contact permissions@apta.org with questions or for further information."	"http://www.apta.org/OPTIMAL/"
"Copyright © 2010 David Cella, PhD."	"DC"	"David Cella, PhD"	"Used with permission. All of these Neuro-QOL instruments can be used at no charge. We do ask, however, that you contact Neuro-QOL project manager, Vitali Ustsinovich, at v-ustsinovich@northwestern.edu and let him know that you intend to use Neuro-QOL."	"http://www.neuroqol.org"
"Copyright © 2010 FACIT.org."	"FACIT"	"Functional Assessment of Chronic Illness Therapy"	"Used with permission. All translations, adaptations, symptom indices, computer programs, and scoring algorithms, and any other related documents of the Functional Assessment of Chronic Illness Therapy (FACIT) Measurement System, including the Functional Assessment of Cancer Therapy (FACT), are owned and copyrighted by, and the intellectual property of, David Cella, Ph.D."	"http://www.facit.org/FACITOrg/AboutUs/Copyright"
"Copyright © The Royal College of Psychiatrists"	"RCP"	"The Royal College of Psychiatrists"	"The Edinburgh Postnatal Depression Scale may be photocopied by individual researchers or clinicians for their own use without seeking permission from the publishers. The scale must be copied in full and all copies must acknowledge the following source: Cox, J.L., Holden, J.M., & Sagovsky, R. (1987). Detection of postnatal depression. Development of the 10-item Edinburgh Postnatal Depression Scale. British Journal of Psychiatry, 150, 782-786. Written permission must be obtained from the Royal College of Psychiatrists for copying and distribution to others or for republication (in print, online or by any other medium)."	""
"Copyright © 2002-2012 M3 Information."	"M3"	"My Mood Monitor Checklist"	"Used with permission."	"http://www.whatsmym3.com/TermsOfUse.aspx"
"Copyright © 2012 Frances Page Glascoe, PEDStest.com."	"P.E.D.S."	"PEDSTest.com, LLC"	"Used with permission."	"http://www.pedstest.com/Home.aspx"
"Copyright ©1986 Regents of the University of Minnesota, All rights reserved. Do not copy or reproduce without permission. LIVING WITH HEART FAILURE® is a registered trademark of the Regents of the University of Minnesota."	"MLHFQ"	"Minnesota Living with Heart Failure Questionnaire"	"Used with permission."	""
"Copyright © 1996-2005 John Spertus, MD, MPH."	"KCCQ"	"Kansas City Cardiomyopathy Questionnaire"	"Used with permission."	""
"Copyright © 2010, 2008 CURRICULUM ASSOCIATES®, LLC."	"Brigance"	"Brigance Screen"	"Used with permission."	"http://www.curriculumassociates.com/default.aspx"
"Copyright © 2009 Paul H. Brookes Publishing Co., Inc."	"PHB"	"Paul H. Brookes Publishing Co"	"Used with permission."	"www.brookespublishing.com/asq"
"Copyright © Washington University Charles F. and Joanne Knight Alzheimer's Disease Research Center (Knight ADRC)."	"CDR"	"Clinical Dementia Rating Scale (CDR)"	"Used with permission."	"http://knightadrc.wustl.edu/cdr/copyright.htm"
"Copyright © Vicki King for Psychological Assessment Resources."	"MMSE"	"Mini Mental State Examination"	"Used with permission."	"http://www.parinc.com"
"Copyright © 2012 Ewa Roos."	"KOOS"	"Knee injury and osteoarthritis outcome score"	"Used with permission."	"http://www.koos.nu/"
"Copyright © 2012 Ewa Roos."	"HOOS"	"Hip dysfunction and osteoarthritis outcome score"	"Used with permission."	"http://www.koos.nu/"
"Copyright © 2000 Soo Borson."	"MiniCog"	"Mini-Cog"	"Used with permission."	""
"Copyright © The Hartford Institute for Geriatric Nursing, College of Nursing, New York University."	"BOMC"	"Blessed orientation-memory-concentration test (BOMC)"	"Used with permission."	""
"Copyright © Saint Louis University/Department of Veterans Affairs."	"SLUMS"	"St. Louis University mental status examination (SLUMS)"	"Used with permission."	""
"Copyright © Anthony Jorm."	"IQCODE"	"Short Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE)"	"Used with permission."	""
"Copyright © 2005 The Eight-item Informant Interview to Differentiate Aging and Dementia is a copyrighted instrument of Washington University, St. Louis, Missouri. All Rights Reserved."	"AD8"	"Ascertain Dementia 8 (AD8)"	"Washington University grants permission to use and reproduce the Eight-item Informant Interview to Differentiate Aging and Dementia exactly as it appears in the PDF available here without modification or editing of any kind solely for end user use in investigating dementia in clinical care or research in clinical care or research (the Purpose). For the avoidance of doubt, the Purpose does not include the (i) sale, distribution or transfer of the Eight-item Informant Interview to Differentiate Aging and Dementia or copies thereof for any consideration or commercial value; (ii) the creation of any derivative works, including translations; and/or (iii) use of the Eight-item Informant Interview to Differentiate Aging and Dementia as a marketing tool for the sale of any drug."	"http://knightadrc.wustl.edu/About_Us/AD8_Permission.htm"
"Copyright © Tina Brosseau for Center for Diagnosis & Research on Alzheimer's disease (CEDRA)."	"MoCA"	"Montreal Cognitive Assessment (MoCA)"	"Used with permission."	""
"Copyright © 2003 Clemson, Cumming & Heard."	"FaB"	"Falls Behavioral Scale for Older People (FaB)"	"Used with permission."	""
"Copyright © American Academy of Orthopaedic Surgeons."	"HKOI"	"American Academy of Orthopaedic Surgeons hip and knee outcomes questionnaire"	"Used with permission."	""
"Copyright © 2012 National Pressure Ulcer Advisory Panel (NPUAP)."	"NPUAP"	"National Pressure Ulcer Advisory Panel (NPUAP)"	"Used with permission."	"http://www.npuap.org/"
"Copyright © PSM ZI Mannheim/Germany."	"BSL-23"	"Borderline Symptom List - 23 Item"	"Used with permission."	""
"Copyright © PSM ZI Mannheim/Germany."	"BSL-SUPP"	"Borderline Symptom List - Supplement"	"Used with permission."	""
"Copyright © 1997 Barbara Huffines."	"NSRAS_BH"	"Barbara Huffines"	"Used with permission."	"http://www.ncbi.nlm.nih.gov/pubmed/9423386"
"Copyright © 2009 InterRAI."	"InterRAIDOC"	"interRAI Clinical Instruments"	"Used with permission."	"http://www.interrai.org/terms-of-use.html"
"Copyright © 2004 RAND."	"VR"	"Veterans RAND"	"Used with permission per LOINC Terms of Use. The Veterans RAND 12 Item Health Survey (VR-12) was developed from the Veterans RAND 36 Item Health Survey (VR-36) which was developed from the MOS RAND SF-36 Version 1.0. Details involving the VR-36 and VR-12 questionnaires, scoring algorithms for PCS and MCS summary measures, and imputation programs for missing values can be obtained on request by agreeing to the stipulations given by the RAND Corporation website (See http://www.rand.org/health/surveys_tools/mos/mos_core_36item_terms.html) in a letter to Dr. Lewis Kazis (lek@bu.edu) on institutional letter head. Users of the VR-12 or VR-36 in clinical research studies should also notify Dr. Kazis."	""
"Copyright © 1994 Harold R. Ireton."	"BSS_IDI"	"Behavior Science Systems, Inc., Infant Development Inventory (IDI)"	"Used with permission."	"http://www.childdevrev.com/page12/contact.html"
"Copyright © 1992 Harold R. Ireton."	"BSS_CDI"	"Behavior Science Systems, Inc., Child Development Inventory (CDI)"	"Used with permission."	"http://www.childdevrev.com/page12/contact.html"
"Copyright © 1995 NCS Pearson, Inc."	"BINS"	"Bayley Infant Neurodevelopmental Screener (BINS)"	"Reproduced with permission. All rights reserved. Bayley Infant Neurodevelopmental Screener and BINS are trademarks, in the US and/or other countries, of Pearson Education, Inc. or its affiliates(s)."	"https://psychcorp.pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=015-8028-708&Mode=summary"
"Copyright © Stanford University."	"HAQ"	"Health Assessment Questionnaire (HAQ)"	"Used with permission."	"http://aramis.stanford.edu/"
"Copyright © 1991 The Regents of the University of Michigan."	"MAST-G"	"Michigan Alcoholism Screening Test–Geriatric Version (MAST-G)"	"Used with permission."	""
"Copyright © 2009 Children’s Hospital Boston."	"CHB"	"Children’s Hospital Boston"	"Used with permission."	"http://www.ceasar.org/CRAFFT/pdf/CRAFFT_English.pdf"
"Copyright © 1962 Centre for Policy on Ageing (formerly NCCOP), London, UK."	"CPA"	"Centre for Policy on Ageing"	"Reproduced with permission."	"http://www.cpa.org.uk/pubs/cpa_publications.html"
"Copyright © 2014 ADVault, Inc."	"ADVault"	"ADVault, Inc."	"Used with permission."	"https://mydirectives.com/en/about/terms/"
"Copyright © 2006-2012 National Institutes of Health and Northwestern University."	"NIH_Tbox"	"National Institutes of Health Toolbox"	"Used with permission."	"http://www.nihtoolbox.org/Terms%20and%20Conditions/Pages/default.aspx"
"Copyright © 2005 The Journal of Rheumatology."	"JRheu_PAS"	"The Journal of Rheumatology"	"Used with permission."	"http://www.jrheum.com/reprints.html"
"ESI Copyright © 2004, ESI Triage Research Team"	"ESI"	"ESI Triage Research Team"	"Used with permission."	"http://www.ESItriage.org/"
"Copyright © 2009 Trustees of Dartmouth College/COOP Project."	"COOP"	"Dartmouth College/COOP Project"	"Used with permission."	"http://www.dartmouthcoopproject.org/coopcharts.html"
"Copyright © 2001 World Health Organization."	"WHO_AUDIT"	"World Health Organization (WHO)"	"Used with permission."	"http://www.who.int/about/licensing/en/"
"Copyright © Canadian Triage and Acuity Scale"	"CTAS"	"Canadian Triage and Acuity Scale"	"Used with permission"	"http://caep.ca/resources/ctas"
"Copyright © 2008 Association for the Advancement of Automotive Medicine (AAAM)."	"AAAM_AIS"	"Association for the Advancement of Automotive Medicine (AAAM)"	"Used with Permission. Use of the Abbreviated Injury Scale (AIS) requires a license. Both individual use and site licenses can be purchased from AAAM."	"http://www.aaam.org/about-ais.html"
"Copyright © 1991 Dr. Charles S. Cleeland"	"BPI"	"Charles S. Cleeland, Ph.D."	"Used with permission."	"http://www.mdanderson.org/education-and-research/departments-programs-and-labs/departments-and-divisions/symptom-research/symptom-assessment-tools/brief-pain-inventory.html#NoticeofCopyright"
"Portions Copyright © 2002 American Academy of Pediatrics."	"AAP"	"American Academy of Pediatrics"	"Used with permission."	"http://shop.aap.org/licensing-permissions/"
"Occupational stress questionnaire™ (OSQ™); Copyright by Finnish Institute of Occupational Health; Elo A-L, Leppänen A, Lindström K, Ropponen T (2012).www.ttl.fi"	"FIOH_OSQ"	"Finnish Institute of Occupational Health, Occupational Stress Questionnaire"	"Used with permission"	"http://www.ttl.fi/"
"Copyright © 2002 University of New South Wales as represented by the Dementia Collaborative Research Centre – Assessment and Better Care"	"GPCOG"	"General Practitioner Assessment of Cognition (GPCOG)"	"Used with permission."	"http://gpcog.com.au/index.php"
"Portions Copyright © 2015 Therapeutic Associates, Inc."	"CareConnections"	"CareConnections"	"Used with permission."	"http://www.careconnections.com/terms.html"
"Portions Copyright © 2013 CRE Care."	"AM-PAC"	"Activity Measure for Post-Acute Care"	"Used with permission."	"http://www.bu.edu/bostonroc/instruments/am-pac/"
"This article was published in the JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS, vol14(7) Vernon, H. and Mior, S., The Neck Disability Index: a study of reliability and validity, pp.409 to 415, Copyright © Elsevier (1991)"	"Elsevier_NDI"	"Elsevier"	"Used with permission"	""
